GAME_ID,TEAM_ID,Q1_PTS,HALF1_PTS
0021500001,1610612737,25,43
0021500001,1610612765,25,48
0021500002,1610612741,26,46
0021500002,1610612739,17,40
0021500003,1610612744,39,59
0021500003,1610612740,35,49
0021500004,1610612753,29,51
0021500004,1610612764,31,53
0021500005,1610612738,21,51
0021500005,1610612755,26,40
0021500006,1610612751,19,55
0021500006,1610612741,30,58
0021500007,1610612765,16,41
0021500007,1610612762,15,44
0021500008,1610612748,23,54
0021500008,1610612766,27,44
0021500009,1610612761,20,37
0021500009,1610612754,30,45
0021500010,1610612745,21,49
0021500010,1610612743,27,53
0021500011,1610612763,10,32
0021500011,1610612739,26,53
0021500012,1610612749,23,51
0021500012,1610612752,27,63
0021500013,1610612760,29,50
0021500013,1610612759,27,55
0021500014,1610612756,22,45
0021500014,1610612742,24,54
0021500015,1610612757,43,70
0021500015,1610612740,18,43
0021500016,1610612758,17,46
0021500016,1610612746,25,56
0021500017,1610612747,31,60
0021500017,1610612750,22,51
0021500018,1610612754,20,49
0021500018,1610612763,29,50
0021500019,1610612752,20,45
0021500019,1610612737,30,61
0021500020,1610612746,22,51
0021500020,1610612742,17,43
0021500021,1610612739,29,47
0021500021,1610612748,23,42
0021500022,1610612753,35,67
0021500022,1610612760,31,53
0021500023,1610612755,19,33
0021500023,1610612762,28,50
0021500024,1610612738,26,54
0021500024,1610612761,26,54
0021500025,1610612765,23,35
0021500025,1610612741,19,39
0021500026,1610612737,29,53
0021500026,1610612766,22,52
0021500027,1610612749,33,65
0021500027,1610612764,22,61
0021500028,1610612759,25,42
0021500028,1610612751,21,47
0021500029,1610612743,16,39
0021500029,1610612750,26,49
0021500030,1610612745,29,44
0021500030,1610612744,30,57
0021500031,1610612758,40,74
0021500031,1610612747,24,50
0021500032,1610612756,27,55
0021500032,1610612757,23,49
0021500033,1610612754,29,49
0021500033,1610612762,23,42
0021500034,1610612764,29,56
0021500034,1610612752,29,59
0021500035,1610612740,28,65
0021500035,1610612744,31,64
0021500036,1610612763,31,56
0021500036,1610612751,26,45
0021500037,1610612757,23,48
0021500037,1610612756,27,56
0021500038,1610612746,24,59
0021500038,1610612758,31,55
0021500039,1610612766,18,39
0021500039,1610612737,28,46
0021500040,1610612738,13,31
0021500040,1610612759,23,44
0021500041,1610612748,30,44
0021500041,1610612745,35,63
0021500042,1610612761,24,55
0021500042,1610612749,19,41
0021500043,1610612741,29,54
0021500043,1610612753,26,40
0021500044,1610612760,29,58
